Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C33",0402,4,1uF,
"C12, C15, C17, C8, C9",0402,5,100nF,
"C13, C16, C29",0805,3,10u/25V,
"C14, C31, C32",0402,3,10uF,
"C18, C7",0402,2,22n/50V,
"C19, C20, C21, C22, C23, C25, C26, C27, C30",0402,9,100n/50V,
"C2, C3",0805,2,10uF/25V,
"C24, C28",0402,2,10uF/10V,
"C4, C5",0402,2,10pF,
C6,0402,1,100n,
"D1, D2, D3, D4",0603,4,LED RED 0603,
D23,D_SMA,1,D_Small,
"F1, F2",0603,2,SMD0603P050TF,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole_Pad,
"H5, H6, H7, H8",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
"J10, J3, J5, J8, J9",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,5,Conn_01x04,
"J2, J7",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,MC-311D,
J4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03,
J6,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,5.5/2.1 Barell DC2,
L4,L_5.5x5.1mm,1,L_Small,
"LEFT/BOOT1, RIGHT1, RST1",SW_Push_SPST_NO_Alps_SKRK,3,TS-1088-AR02016,
"R1, R2",0402,2,22R,
"R10, R11, R19, R20",0805,4,0.11R/0805,
"R12, R24",0402,2,1k,
"R13, R15, R27, R3, R4, R5, R9",0402,7,10k,
"R14, R18, R6",0402,3,510R,
"R16, R17, R7, R8",0402,4,5k1,
R21,0402,1,100k,
R22,0402,1,6k34(10k7),
R23,0402,1,2k,
"R25, R26",0402,2,22k,
"TP1, TP2, TP3",TestPoint_Micro,3,TestPoint,
U1,SOT-23,1,ME6231,
U12,SOT-23-6,1,ME3116,
"U2, U3",QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm_ThermalVias,2,~,
U4,SOT-23-5,1,24AA64T-I/OT,
U5,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,
U6,LQFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,CH334P,
U8,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT31A-DIS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,TAXM8M4RDBCCT2T / 8MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,TAXM12M4RDBCCT2T / 12MHz,
