Designator,Mid X,Mid Y,Rotation,Layer
C1,11.4,0.0,90.0,top
C10,21.3,19.805,90.0,top
C11,26.375,4.025,0.0,top
C12,24.85,3.525,180.0,top
C13,5.625,26.0375,90.0,top
C14,23.3,7.68,90.0,top
C15,22.5,7.68,90.0,top
C16,15.6,29.1125,270.0,top
C17,12.9,9.1,180.0,top
C18,7.1,27.05,90.0,top
C19,14.2,29.52,90.0,top
C2,19.3,29.05,90.0,top
C20,4.15,25.27,270.0,top
C21,7.1,25.27,90.0,top
C22,14.45,26.6,90.0,top
C23,28.95,26.58,90.0,top
C24,8.72,24.125,0.0,top
C25,20.8,30.1,90.0,top
C26,20.65,24.42,90.0,top
C27,26.9,23.88,90.0,top
C28,22.25,24.0,0.0,top
C29,26.3,18.35,90.0,top
C3,31.15,26.6,180.0,top
C30,30.9,15.625,270.0,top
C31,23.795,10.2,180.0,top
C32,23.785,9.125,180.0,top
C33,26.37,3.0,180.0,top
C4,18.4,19.4,0.0,top
C5,16.6,19.4,180.0,top
C6,14.75,19.58,90.0,top
C7,20.55,26.27,90.0,top
C8,22.225,19.805,90.0,top
C9,20.375,19.805,90.0,top
D1,11.3,-6.4,0.0,top
D2,23.7,-6.3,180.0,top
D23,33.1,11.65,90.0,top
D3,33.4625,24.9,180.0,top
D4,33.45,23.4,180.0,top
F1,10.387499,1.675,0.0,top
F2,26.7125,1.4,180.0,top
J10,1.05,18.0,270.0,top
J2,5.1,-4.2,0.0,top
J3,10.0,34.0,0.0,top
J4,1.049999,25.2,270.0,top
J5,25.0,34.0,0.0,top
J6,19.25,2.55,0.0,top
J7,29.9,-4.2,0.0,top
J8,34.0,18.75,270.0,top
J9,1.05,9.9,270.0,top
L4,28.075,10.875,180.0,top
LEFT/BOOT1,5.5,20.25,270.0,top
R1,11.4,5.085,90.0,top
R10,8.7,31.8,180.0,top
R11,13.0,31.8,0.0,top
R12,11.95,16.29,90.0,top
R13,2.85,22.7,270.0,top
R14,23.65,-4.8,0.0,top
R15,28.25,23.86,90.0,top
R16,10.155,16.75,0.0,top
R17,10.16,15.8,0.0,top
R18,10.16,17.7,0.0,top
R19,21.8875,31.8,180.0,top
R2,13.39,7.4,0.0,top
R20,26.2875,31.8,0.0,top
R21,26.525,15.69,90.0,top
R22,24.975,14.69,90.0,top
R23,26.31,14.225,180.0,top
R24,33.4625,26.6,270.0,top
R25,23.61,-2.8,180.0,top
R26,23.625,-3.75,180.0,top
R27,34.45,26.69,270.0,top
R3,13.75,19.59,90.0,top
R4,13.39,8.2,0.0,top
R5,20.8,28.3,270.0,top
R6,11.315,-4.7,180.0,top
R7,11.3,-3.8,0.0,top
R8,11.315,-2.9,0.0,top
R9,6.93,23.92,0.0,top
RIGHT1,29.5,20.075,270.0,top
RST1,17.5,25.725,0.0,top
TP1,3.225,-5.9,270.0,bottom
TP2,5.225,-5.9,270.0,bottom
TP3,7.25,-5.9,270.0,bottom
U1,25.65,6.0625,90.0,top
U12,28.775,15.5625,90.0,top
U2,24.4,27.7,90.0,top
U3,10.7,27.7,90.0,top
U4,9.75,13.2375,270.0,top
U5,17.5,13.5,180.0,top
U6,9.75,8.3375,270.0,top
U8,5.475,14.25,0.0,top
Y1,17.5,22.0,180.0,top
Y2,5.25,9.75,0.0,top
